Date,Inflation_Change,CPI,Food 5,Shelter 6,"Household operations, furnishings and equipment",Clothing and footwear,Transportation,Health and personal care,"Recreation, education and reading","Alcoholic beverages, tobacco products and recreational cannabis",Interest Rate
2021-03-01,0,0.022,155.5,150,123.5,93.7,148.8,130.5,116.4,173.6,0.5
2021-04-01,0,0.034,155.4,150.7,124.7,94.9,149.5,132.5,116.8,174.4,0.5
2021-05-01,0,0.036,156.6,151.7,124.7,95.1,150.3,132.4,117.6,175.2,0.5
2021-06-01,1,0.031,156.8,152.8,124.8,93.4,150.8,132.6,118,175.5,0.5
2021-07-01,0,0.037,157.6,153.5,125.6,93,152.2,133.4,119.7,175,0.5
2021-08-01,0,0.041,158,153.9,125.8,93.3,153.8,133.3,118.6,176.2,0.5
2021-09-01,0,0.044,158.5,154.4,125.9,94.7,153.2,133.7,119,175.8,0.5
2021-10-01,0,0.047,159.2,155.4,126.5,96,155.4,133.9,120.1,176.2,0.5
2021-11-01,1,0.047,160.7,155.9,126.3,96.9,155.4,134.1,118.5,176.6,0.5
2021-12-01,0,0.048,161.6,156.8,126.1,93.1,154.9,133.4,117.7,175.7,0.5
2022-01-01,0,0.051,163.9,157.6,126.7,93.4,156.9,134.1,119.2,178.2,0.5
2022-02-01,0,0.057,166,158.6,127.6,93.8,159.9,134.6,120.9,178.5,0.5
2022-03-01,0,0.067,167.5,160.2,129.1,94.5,165.5,134.9,123.1,179.3,0.75
2022-04-01,0,0.068,169,161.9,129.8,95.1,166.3,137,121.6,179.8,1.25
2022-05-01,0,0.077,170.4,163,131.5,97.2,172.2,137.2,123.9,180.4,1.25
2022-06-01,0,0.081,170.6,163.6,131.8,95.9,176.2,137.8,125.3,180.7,1.75
2022-07-01,1,0.076,172.1,164.2,131.9,94.3,174.1,138.6,127.1,181.6,2.75
2022-08-01,1,0.07,173.5,164.1,132.2,94.6,169.7,139.1,125.4,182.4,2.75
2022-09-01,1,0.069,174.8,164.9,132.7,96.1,166.5,139.6,125.2,182.4,3.50
2022-10-01,1,0.069,175.2,166.2,132.9,97.7,170.1,140.4,125,183.5,3.50
2022-11-01,1,0.068,177.3,167.2,132.9,97.3,168.6,141.5,123.4,184.5,4.00
2022-12-01,1,0.063,177.9,167.8,131.9,94.8,164.2,141.5,121.7,184.2,4.50
2023-01-01,1,0.059,181,168,131.4,93.8,165.4,142.4,122.6,186.5,4.50
2023-02-01,1,0.052,182.1,168.3,132.8,95.6,164.8,143,123.7,187.3,4.75
2023-03-01,1,0.043,182.4,168.9,133.3,96.8,166,143.7,125.1,189,4.75
2023-04-01,1,0.044,183.1,169.9,133.7,97.5,168.5,145.7,125.4,189.4,4.75
2023-05-01,1,0.034,184.6,170.6,133,97.9,168.1,146,127.8,190.3,4.75
2023-06-01,1,0.028,184.8,171.4,132.2,96.2,170.2,146.4,126.8,190.5,5.00
2023-07-01,0,0.033,185.5,172.6,131.8,95.2,172.4,146.6,129.4,191.2,5.25
2023-08-01,0,0.04,185.3,174,132.2,96.2,173.6,147.2,128.2,191.9,5.25
2023-09-01,1,0.038,185.2,174.8,131.3,97.1,171.9,147.4,127.5,192,5.25
2023-10-01,1,0.031,185,176.3,131.3,97.2,169.5,147.3,128.6,192.2,5.25
2023-11-01,1,0.031,186.2,177.1,130.9,97.9,168.5,147.4,128.1,193,5.25
2023-12-01,0,0.034,186.8,177.8,129.7,95.7,169.5,146.7,123.8,192.1,5.25
2024-01-01,1,0.029,188.1,178.4,130.8,92.6,167.4,147.7,123,194.3,5.25
2024-02-01,1,0.028,188.1,179.2,130.6,91.6,168.5,148.4,125,194.1,5.25
